,Model,col,MSE,MAE,Accuracy,W_precision,W_recall,W_F1score,M_precision,M_recall,M_F1score
0,KNN,av,0.22344610542879623,0.15892997639653816,0.8709677419354839,0.8685699956687075,0.8709677419354839,0.866922499855733,0.751764174062729,0.6132476605077453,0.6632443138257091
1,KNN,ac,0.08091123330714847,0.08091123330714847,0.9190887666928516,0.844724161060987,0.9190887666928516,0.8803388105040002,0.4595443833464258,0.5,0.4789193614408514
2,KNN,pr,0.6381475667189953,0.33987441130298274,0.8092621664050236,0.8070157361322634,0.8092621664050236,0.8010394939610189,0.8134922453735532,0.6725178244629569,0.7197448943644251
3,KNN,ui,0.19858712715855573,0.19858712715855573,0.8014128728414442,0.7975107523754127,0.8014128728414442,0.7975619623592857,0.7841509501018813,0.762882742180757,0.7711930160068773
4,KNN,s,0.05577376276512176,0.05577376276512176,0.9442262372348782,0.9431184597353607,0.9442262372348782,0.9435450028171402,0.8983541780503106,0.879353125963614,0.8884888757835931
5,KNN,c,0.34642576590730556,0.22388059701492538,0.8373919874312648,0.8350473483723937,0.8373919874312648,0.8352713251379488,0.8166960971112459,0.7922579070709442,0.8033235083688252
6,KNN,i,0.3543307086614173,0.2409448818897638,0.815748031496063,0.8242018676038291,0.815748031496063,0.8117884930411475,0.8284201518946475,0.785118761025657,0.7990723846586856
7,KNN,a,0.19324430479183033,0.16182246661429694,0.8538884524744698,0.8405863013009144,0.8538884524744698,0.842221805790949,0.5772137854517717,0.5714156807167843,0.570801122188947
8,DT,av,0.2077104642014162,0.14948859166011014,0.8772619984264359,0.8561632236280239,0.8772619984264359,0.8650625769213799,0.6739363030407807,0.5553339640236704,0.5967483440203255
9,DT,ac,0.07384131971720345,0.07384131971720345,0.9261586802827966,0.9114091826832854,0.9261586802827966,0.913874926908788,0.7656896091770041,0.6322296904821176,0.6711570593149541
10,DT,pr,0.6381475667189953,0.33987441130298274,0.8092621664050236,0.8070157361322634,0.8092621664050236,0.8010394939610189,0.8134922453735532,0.6725178244629569,0.7197448943644251
11,DT,ui,0.14992150706436422,0.14992150706436422,0.8500784929356358,0.84903296657648,0.8500784929356358,0.8463377254820936,0.8461398662401861,0.8131149562286795,0.8256353960131761
12,DT,s,0.05577376276512176,0.05577376276512176,0.9442262372348782,0.9431184597353607,0.9442262372348782,0.9435450028171402,0.8983541780503106,0.879353125963614,0.8884888757835931
13,DT,c,0.34642576590730556,0.22388059701492538,0.8373919874312648,0.8350473483723937,0.8373919874312648,0.8352713251379488,0.8166960971112459,0.7922579070709442,0.8033235083688252
14,DT,i,0.3346456692913386,0.23543307086614174,0.8141732283464567,0.8161251372461951,0.8141732283464567,0.814525290303364,0.8060389379893126,0.8033928727007842,0.8040014332902824
15,DT,a,0.19167321288295366,0.16025137470542028,0.8554595443833464,0.8642759076905091,0.8554595443833464,0.8458608116111331,0.9119323910612477,0.5952252045263081,0.6158230368169245
16,SVC,av,0.2077104642014162,0.14948859166011014,0.8772619984264359,0.8561632236280239,0.8772619984264359,0.8650625769213799,0.6739363030407807,0.5553339640236704,0.5967483440203255
