,Models,Descriptions,col,MSE,MAE,Accuracy,W_precision,W_recall,W_F1score,M_precision,M_recall,M_F1score
0,GPT4,GPT35turbo,av,0.2749685929648241,0.18985552763819097,0.8459484924623115,0.847800278662938,0.8459484924623115,0.8468133978472561,0.60653637814692,0.6225605127425724,0.6141898455642005
1,GPT4,GPT35turbo,ac,0.11070979899497488,0.11070979899497488,0.8892902010050251,0.879376503662618,0.8892902010050251,0.8841264687822399,0.5788466673725694,0.5653822151139768,0.5710534454771976
2,GPT4,GPT35turbo,pr,0.7525125628140703,0.4045226130653266,0.7694723618090452,0.7683553827675964,0.7694723618090452,0.7462540882009358,0.738297559025339,0.6221158464845877,0.6545301756290834
3,GPT4,GPT35turbo,ui,0.1865577889447236,0.1865577889447236,0.8134422110552764,0.8154701099736933,0.8134422110552764,0.814272827513476,0.7953421345387688,0.8006504976008828,0.7977842071836849
4,GPT4,GPT35turbo,s,0.16881281407035176,0.16881281407035176,0.8311871859296482,0.8259280549375829,0.8311871859296482,0.7553322370422162,0.8156058462989156,0.5017607696111612,0.4575679828820449
5,GPT4,GPT35turbo,c,0.8413944723618091,0.4742462311557789,0.7093278894472361,0.7427031796404355,0.7093278894472361,0.6483096612470005,0.7804708210891514,0.5464117332524664,0.5539388915637931
6,GPT4,GPT35turbo,i,0.7211055276381909,0.4296482412060301,0.7160804020100503,0.7474107910866463,0.7160804020100503,0.6678647429021012,0.7748403790606507,0.5882313061274086,0.5808128357112243
7,GPT4,GPT35turbo,a,0.24638819095477388,0.21498115577889448,0.8007223618090452,0.8001891081612037,0.8007223618090452,0.7898938451411444,0.6227906459010071,0.5482469910929482,0.5643216870684682
