,Estimator,col,MSE,MAE,Accuracy,W_precision,W_recall,W_F1score,M_precision,M_recall,M_F1score
0,KNN,av,0.1959087332808812,0.14083398898505115,0.8827694728560189,0.8787992264169134,0.8827694728560189,0.875748073913442,0.8655553067094158,0.6085499834734912,0.681796924937871
1,KNN,ac,0.07384131971720345,0.07384131971720345,0.9261586802827966,0.9114091826832854,0.9261586802827966,0.913874926908788,0.7656896091770041,0.6322296904821176,0.6711570593149541
2,KNN,pr,0.6381475667189953,0.33987441130298274,0.8092621664050236,0.8070157361322634,0.8092621664050236,0.8010394939610189,0.8134922453735532,0.6725178244629569,0.7197448943644251
3,KNN,ui,0.14992150706436422,0.14992150706436422,0.8500784929356358,0.84903296657648,0.8500784929356358,0.8463377254820936,0.8461398662401861,0.8131149562286795,0.8256353960131761
4,KNN,s,0.05577376276512176,0.05577376276512176,0.9442262372348782,0.9431184597353607,0.9442262372348782,0.9435450028171402,0.8983541780503106,0.879353125963614,0.8884888757835931
5,KNN,c,0.34642576590730556,0.22388059701492538,0.8373919874312648,0.8350473483723937,0.8373919874312648,0.8352713251379488,0.8166960971112459,0.7922579070709442,0.8033235083688252
6,KNN,i,0.3346456692913386,0.23543307086614174,0.8141732283464567,0.8161251372461951,0.8141732283464567,0.814525290303364,0.8060389379893126,0.8033928727007842,0.8040014332902824
7,KNN,a,0.19167321288295366,0.16025137470542028,0.8554595443833464,0.8642759076905091,0.8554595443833464,0.8458608116111331,0.9119323910612477,0.5952252045263081,0.6158230368169245
8,DT,av,0.1959087332808812,0.14083398898505115,0.8827694728560189,0.8787992264169134,0.8827694728560189,0.875748073913442,0.8655553067094158,0.6085499834734912,0.681796924937871
9,DT,ac,0.07384131971720345,0.07384131971720345,0.9261586802827966,0.9114091826832854,0.9261586802827966,0.913874926908788,0.7656896091770041,0.6322296904821176,0.6711570593149541
10,DT,pr,0.6381475667189953,0.33987441130298274,0.8092621664050236,0.8070157361322634,0.8092621664050236,0.8010394939610189,0.8134922453735532,0.6725178244629569,0.7197448943644251
11,DT,ui,0.14992150706436422,0.14992150706436422,0.8500784929356358,0.84903296657648,0.8500784929356358,0.8463377254820936,0.8461398662401861,0.8131149562286795,0.8256353960131761
12,DT,s,0.05577376276512176,0.05577376276512176,0.9442262372348782,0.9431184597353607,0.9442262372348782,0.9435450028171402,0.8983541780503106,0.879353125963614,0.8884888757835931
13,DT,c,0.34642576590730556,0.22388059701492538,0.8373919874312648,0.8350473483723937,0.8373919874312648,0.8352713251379488,0.8166960971112459,0.7922579070709442,0.8033235083688252
14,DT,i,0.3346456692913386,0.23543307086614174,0.8141732283464567,0.8161251372461951,0.8141732283464567,0.814525290303364,0.8060389379893126,0.8033928727007842,0.8040014332902824
15,DT,a,0.19167321288295366,0.16025137470542028,0.8554595443833464,0.8642759076905091,0.8554595443833464,0.8458608116111331,0.9119323910612477,0.5952252045263081,0.6158230368169245
16,SVC,av,0.1959087332808812,0.14083398898505115,0.8827694728560189,0.8787992264169134,0.8827694728560189,0.875748073913442,0.8655553067094158,0.6085499834734912,0.681796924937871
