,Models_0,Model_1,col,MSE,MAE,Accuracy,W_precision,W_recall,W_F1score,M_precision,M_recall,M_F1score
0,", KNN, DT, SVC, RF, XGB, GNB",KNN,av,0.1990558615263572,0.14083398898505115,0.8843430369787569,0.8845995388157724,0.8843430369787569,0.8754604178405458,0.8747070903588413,0.6389593131746145,0.690094658216122
1,", KNN, DT, SVC, RF, XGB, GNB",KNN,ac,0.07462686567164178,0.07462686567164178,0.9253731343283582,0.9085252408318519,0.9253731343283582,0.9091803775830452,0.7702429149797572,0.6052402290266368,0.6433700476253668
2,", KNN, DT, SVC, RF, XGB, GNB",KNN,pr,0.6381475667189953,0.33987441130298274,0.8092621664050236,0.8070157361322634,0.8092621664050236,0.8010394939610189,0.8134922453735532,0.6725178244629569,0.7197448943644251
3,", KNN, DT, SVC, RF, XGB, GNB",KNN,ui,0.16718995290423863,0.16718995290423863,0.8328100470957613,0.8402658747957582,0.8328100470957613,0.8349477041845673,0.8128826530612245,0.8293384297124382,0.8192456412049758
4,", KNN, DT, SVC, RF, XGB, GNB",KNN,s,0.05577376276512176,0.05577376276512176,0.9442262372348782,0.9431184597353607,0.9442262372348782,0.9435450028171402,0.8983541780503106,0.879353125963614,0.8884888757835931
5,", KNN, DT, SVC, RF, XGB, GNB",KNN,c,0.3424980361351139,0.2199528672427337,0.8413197172034564,0.8397094785251783,0.8413197172034564,0.840235555659642,0.8173106047892874,0.8034134199109125,0.8100379443440064
6,", KNN, DT, SVC, RF, XGB, GNB",KNN,i,0.3543307086614173,0.2409448818897638,0.815748031496063,0.8242018676038291,0.815748031496063,0.8117884930411475,0.8284201518946475,0.785118761025657,0.7990723846586856
7,", KNN, DT, SVC, RF, XGB, GNB",KNN,a,0.19088766692851533,0.16417910447761194,0.8491751767478397,0.8554260622013338,0.8491751767478397,0.8398441657990419,0.9043054991654261,0.5919183578143116,0.6114804356290424
8,", KNN, DT, SVC, RF, XGB, GNB",DT,av,0.1943351691581432,0.13926042486231313,0.8843430369787569,0.8846354301624917,0.8843430369787569,0.8771985439159921,0.9284244011976048,0.610316767925788,0.6878424614866704
9,", KNN, DT, SVC, RF, XGB, GNB",DT,ac,0.07384131971720345,0.07384131971720345,0.9261586802827966,0.9114091826832854,0.9261586802827966,0.913874926908788,0.7656896091770041,0.6322296904821176,0.6711570593149541
10,", KNN, DT, SVC, RF, XGB, GNB",DT,pr,0.6381475667189953,0.33987441130298274,0.8092621664050236,0.8070157361322634,0.8092621664050236,0.8010394939610189,0.8134922453735532,0.6725178244629569,0.7197448943644251
11,", KNN, DT, SVC, RF, XGB, GNB",DT,ui,0.14992150706436422,0.14992150706436422,0.8500784929356358,0.84903296657648,0.8500784929356358,0.8463377254820936,0.8461398662401861,0.8131149562286795,0.8256353960131761
12,", KNN, DT, SVC, RF, XGB, GNB",DT,s,0.05577376276512176,0.05577376276512176,0.9442262372348782,0.9431184597353607,0.9442262372348782,0.9435450028171402,0.8983541780503106,0.879353125963614,0.8884888757835931
13,", KNN, DT, SVC, RF, XGB, GNB",DT,c,0.34642576590730556,0.22388059701492538,0.8373919874312648,0.8350473483723937,0.8373919874312648,0.8352713251379488,0.8166960971112459,0.7922579070709442,0.8033235083688252
14,", KNN, DT, SVC, RF, XGB, GNB",DT,i,0.3346456692913386,0.23543307086614174,0.8141732283464567,0.8161251372461951,0.8141732283464567,0.814525290303364,0.8060389379893126,0.8033928727007842,0.8040014332902824
15,", KNN, DT, SVC, RF, XGB, GNB",DT,a,0.19167321288295366,0.16025137470542028,0.8554595443833464,0.8642759076905091,0.8554595443833464,0.8458608116111331,0.9119323910612477,0.5952252045263081,0.6158230368169245
16,", KNN, DT, SVC, RF, XGB, GNB",SVC,av,0.1943351691581432,0.13926042486231313,0.8843430369787569,0.8846354301624917,0.8843430369787569,0.8771985439159921,0.9284244011976048,0.610316767925788,0.6878424614866704
17,", KNN, DT, SVC, RF, XGB, GNB",SVC,ac,0.07384131971720345,0.07384131971720345,0.9261586802827966,0.9114091826832854,0.9261586802827966,0.913874926908788,0.7656896091770041,0.6322296904821176,0.6711570593149541
18,", KNN, DT, SVC, RF, XGB, GNB",SVC,pr,0.6381475667189953,0.33987441130298274,0.8092621664050236,0.8070157361322634,0.8092621664050236,0.8010394939610189,0.8134922453735532,0.6725178244629569,0.7197448943644251
19,", KNN, DT, SVC, RF, XGB, GNB",SVC,ui,0.14992150706436422,0.14992150706436422,0.8500784929356358,0.84903296657648,0.8500784929356358,0.8463377254820936,0.8461398662401861,0.8131149562286795,0.8256353960131761
20,", KNN, DT, SVC, RF, XGB, GNB",SVC,s,0.05577376276512176,0.05577376276512176,0.9442262372348782,0.9431184597353607,0.9442262372348782,0.9435450028171402,0.8983541780503106,0.879353125963614,0.8884888757835931
21,", KNN, DT, SVC, RF, XGB, GNB",SVC,c,0.34642576590730556,0.22388059701492538,0.8373919874312648,0.8350473483723937,0.8373919874312648,0.8352713251379488,0.8166960971112459,0.7922579070709442,0.8033235083688252
22,", KNN, DT, SVC, RF, XGB, GNB",SVC,i,0.3346456692913386,0.23543307086614174,0.8141732283464567,0.8161251372461951,0.8141732283464567,0.814525290303364,0.8060389379893126,0.8033928727007842,0.8040014332902824
23,", KNN, DT, SVC, RF, XGB, GNB",SVC,a,0.19167321288295366,0.16025137470542028,0.8554595443833464,0.8642759076905091,0.8554595443833464,0.8458608116111331,0.9119323910612477,0.5952252045263081,0.6158230368169245
24,", KNN, DT, SVC, RF, XGB, GNB",RF,av,0.1959087332808812,0.14083398898505115,0.8827694728560189,0.8787992264169134,0.8827694728560189,0.875748073913442,0.8655553067094158,0.6085499834734912,0.681796924937871
