,Model,col,MSE,MAE,Accuracy,W_precision,W_recall,W_F1score,M_precision,M_recall,M_F1score
0,GradientBoostingClassifier,av,0.24704956726986624,0.15735641227380015,0.8780487804878049,0.8698557093116113,0.8780487804878049,0.8639901921799074,0.6841686521443159,0.45748180177366077,0.49634651189749496
1,GradientBoostingClassifier,ac,0.07384131971720345,0.07384131971720345,0.9261586802827966,0.9114091826832854,0.9261586802827966,0.913874926908788,0.7656896091770041,0.6322296904821176,0.6711570593149541
2,GradientBoostingClassifier,pr,0.6381475667189953,0.33987441130298274,0.8092621664050236,0.8070157361322634,0.8092621664050236,0.8010394939610189,0.8134922453735532,0.6725178244629569,0.7197448943644251
3,GradientBoostingClassifier,ui,0.14992150706436422,0.14992150706436422,0.8500784929356358,0.84903296657648,0.8500784929356358,0.8463377254820936,0.8461398662401861,0.8131149562286795,0.8256353960131761
4,GradientBoostingClassifier,s,0.05577376276512176,0.05577376276512176,0.9442262372348782,0.9431184597353607,0.9442262372348782,0.9435450028171402,0.8983541780503106,0.879353125963614,0.8884888757835931
5,GradientBoostingClassifier,c,0.34564021995286726,0.2246661429693637,0.835820895522388,0.833416084794606,0.835820895522388,0.8337747767112154,0.8141178815016428,0.7896701688213884,0.8009048179759284
6,GradientBoostingClassifier,i,0.34488188976377954,0.23622047244094488,0.8181102362204724,0.8257609239588967,0.8181102362204724,0.8150973670845926,0.8206581564005729,0.8015724969915882,0.8041382880866284
7,GradientBoostingClassifier,a,0.1885310290652003,0.16025137470542028,0.8538884524744698,0.8615147574281609,0.8538884524744698,0.8443495046752436,0.9093598885337267,0.5944900548158562,0.614645815481291
