,Estimator,col,MSE,MAE,Accuracy,W_precision,W_recall,W_F1score,M_precision,M_recall,M_F1score
0,KNN,av,0.16758893280632411,0.12648221343873517,0.891699604743083,0.8898570718718386,0.891699604743083,0.8876739689477856,0.879640932626889,0.6283344910553392,0.7050287227592216
1,KNN,ac,0.06761006289308176,0.06761006289308176,0.9323899371069182,0.9199267892495107,0.9323899371069182,0.920032320055905,0.8006366597571809,0.6386006825938566,0.6834722222222223
2,KNN,pr,0.5978004713275726,0.3244304791830322,0.812254516889238,0.8105713916020522,0.812254516889238,0.8026296221388655,0.8145173794643242,0.6755780226671829,0.7210839756935653
3,KNN,ui,0.12578616352201258,0.12578616352201258,0.8742138364779874,0.876055799157147,0.8742138364779874,0.8703880351454476,0.8803608514654158,0.8365179417459729,0.8525046382189239
4,KNN,s,0.050393700787401574,0.050393700787401574,0.9496062992125984,0.9486446670190638,0.9496062992125984,0.9478868456605902,0.9368788142981692,0.8809917929868922,0.9058108057996812
5,KNN,c,0.3836477987421384,0.2358490566037736,0.8380503144654088,0.8424076289525572,0.8380503144654088,0.8335419984889324,0.8550084222834599,0.7764161593621935,0.8073893698893699
6,KNN,i,0.3622730860299921,0.23599052880820837,0.8271507498026835,0.8271734764141514,0.8271507498026835,0.8256115691099661,0.8261564010911039,0.7973605714414255,0.8097411354791001
7,KNN,a,0.14229559748427673,0.12185534591194969,0.8883647798742138,0.8900923594635879,0.8883647798742138,0.8822022310404137,0.9253472950120889,0.6267831741483257,0.6494979450989008
8,DT,av,0.17865612648221343,0.13122529644268774,0.8901185770750988,0.8871952167939806,0.8901185770750988,0.885780597104101,0.8543850472635318,0.6176532741241222,0.6900626947246986
9,DT,ac,0.06839622641509434,0.06839622641509434,0.9316037735849056,0.9185160691942279,0.9316037735849056,0.9181335788447234,0.7996176021873947,0.6290273037542662,0.6733869896671714
10,DT,pr,0.6048703849175177,0.3283582089552239,0.809897879025923,0.8080952782443619,0.809897879025923,0.7996715306014771,0.811980616558408,0.6700241299735077,0.7158332231287342
11,DT,ui,0.12578616352201258,0.12578616352201258,0.8742138364779874,0.876055799157147,0.8742138364779874,0.8703880351454476,0.8803608514654158,0.8365179417459729,0.8525046382189239
12,DT,s,0.050393700787401574,0.050393700787401574,0.9496062992125984,0.9486446670190638,0.9496062992125984,0.9478868456605902,0.9368788142981692,0.8809917929868922,0.9058108057996812
13,DT,c,0.38443396226415094,0.235062893081761,0.839622641509434,0.8455802985590679,0.839622641509434,0.8350011919975068,0.8618551254275744,0.7765806967218528,0.8097538601802302
14,DT,i,0.3717442778216259,0.24230465666929754,0.8224151539068666,0.8224081742728865,0.8224151539068666,0.8207528401451761,0.8196149942395387,0.7914752583977753,0.8035837877441995
15,DT,a,0.1509433962264151,0.12421383647798742,0.8891509433962265,0.8797780122476003,0.8891509433962265,0.8835548679022109,0.6596759403439566,0.6150348886139341,0.6210988061133923
16,SVC,av,0.183399209486166,0.13280632411067195,0.8893280632411067,0.8874309406929206,0.8893280632411067,0.8852233778555699,0.8792201036583058,0.6269219983000902,0.7040728096396867
17,SVC,ac,0.0699685534591195,0.0699685534591195,0.9300314465408805,0.9157335113126327,0.9300314465408805,0.9155659695363783,0.7900991952086842,0.6190273037542662,0.6613529966047952
18,SVC,pr,0.6017282010997643,0.32521602513747055,0.8130400628436764,0.8143023425042144,0.8130400628436764,0.8031723028550398,0.8350595948151996,0.6736671172230523,0.7231214047270526
19,SVC,ui,0.12578616352201258,0.12578616352201258,0.8742138364779874,0.876055799157147,0.8742138364779874,0.8703880351454476,0.8803608514654158,0.8365179417459729,0.8525046382189239
20,SVC,s,0.050393700787401574,0.050393700787401574,0.9496062992125984,0.9486446670190638,0.9496062992125984,0.9478868456605902,0.9368788142981692,0.8809917929868922,0.9058108057996812
21,SVC,c,0.38522012578616355,0.2358490566037736,0.8388364779874213,0.8438398543703921,0.8388364779874213,0.8340902988214475,0.8577469291590107,0.7753902205313766,0.8076137694088842
22,SVC,i,0.3709550118389897,0.24151539068666142,0.8232044198895028,0.8232499164248426,0.8232044198895028,0.8217707774338519,0.8212581261583076,0.7944274175779055,0.8060857418001438
23,SVC,a,0.14150943396226415,0.11949685534591195,0.8915094339622641,0.8931742318745909,0.8915094339622641,0.8847185542620744,0.9259342336628352,0.6165896141566501,0.6259553627586238
24,RF,av,0.17470355731225296,0.12885375494071147,0.891699604743083,0.8890408019957621,0.891699604743083,0.8879802829175072,0.8626874338747419,0.6473007100215581,0.7192227900789
25,RF,ac,0.06682389937106918,0.06682389937106918,0.9331761006289309,0.9212298749827006,0.9331761006289309,0.9212686121566773,0.8048084759576202,0.6436006825938566,0.6891808368429374
26,RF,pr,0.6025137470542027,0.3275726630007855,0.809897879025923,0.8079347194091232,0.809897879025923,0.7995117807046621,0.8107400111227651,0.6676986308312013,0.7132454644190863
