,Models_0,Model_1,col,MSE,MAE,Accuracy,W_precision,W_recall,W_F1score,M_precision,M_recall,M_F1score
0,", KNN, DT, SVC, RF, XGB, GNB",KNN,av,0.19446640316205532,0.14703557312252966,0.8735177865612648,0.8681251944227724,0.8735177865612648,0.869031043487762,0.7567420694583324,0.5859633361868927,0.642411693204927
1,", KNN, DT, SVC, RF, XGB, GNB",KNN,ac,0.05817610062893082,0.05817610062893082,0.9418238993710691,0.9333621973080546,0.9418238993710691,0.927999875459244,0.8563607085346217,0.6248166948674563,0.6764026402640264
2,", KNN, DT, SVC, RF, XGB, GNB",KNN,pr,0.5773762765121759,0.3118617439120189,0.8208955223880597,0.8165612178220644,0.8208955223880597,0.8095683136413317,0.8032963935705465,0.6589355239703537,0.7063485108981654
3,", KNN, DT, SVC, RF, XGB, GNB",KNN,ui,0.12264150943396226,0.12264150943396226,0.8773584905660378,0.8763666623392626,0.8773584905660378,0.8761722491529079,0.8708532642551308,0.8567663209273948,0.862984035795172
4,", KNN, DT, SVC, RF, XGB, GNB",KNN,s,0.05354330708661417,0.05354330708661417,0.9464566929133859,0.9453057870699166,0.9464566929133859,0.9440397628653373,0.9329047766065364,0.8610804546959496,0.8919549203298903
5,", KNN, DT, SVC, RF, XGB, GNB",KNN,c,0.38522012578616355,0.24842767295597484,0.8199685534591195,0.8226048510294259,0.8199685534591195,0.8147549461184698,0.828739576349443,0.7573873624684984,0.7852744205734231
6,", KNN, DT, SVC, RF, XGB, GNB",KNN,i,0.30781373322809785,0.20205209155485399,0.850828729281768,0.8507190600323399,0.850828729281768,0.8497036414642535,0.8443219528786666,0.8240329467411173,0.8331260966940425
7,", KNN, DT, SVC, RF, XGB, GNB",KNN,a,0.15959119496855345,0.13443396226415094,0.8781446540880503,0.8624514339059299,0.8781446540880503,0.8702095231241842,0.5831802089997867,0.5948261473281983,0.5889330350422419
8,", KNN, DT, SVC, RF, XGB, GNB",DT,av,0.19288537549407114,0.14545454545454545,0.8758893280632412,0.870816775791561,0.8758893280632412,0.8715785623007097,0.7451965112063634,0.5883984011219575,0.638598537113572
9,", KNN, DT, SVC, RF, XGB, GNB",DT,ac,0.05817610062893082,0.05817610062893082,0.9418238993710691,0.9333621973080546,0.9418238993710691,0.927999875459244,0.8563607085346217,0.6248166948674563,0.6764026402640264
10,", KNN, DT, SVC, RF, XGB, GNB",DT,pr,0.5663786331500392,0.3071484681853888,0.8224666142969363,0.8179339732152558,0.8224666142969363,0.8110029653443,0.7991248681947344,0.6573066188197768,0.7038727873017575
11,", KNN, DT, SVC, RF, XGB, GNB",DT,ui,0.11635220125786164,0.11635220125786164,0.8836477987421384,0.8852772151936603,0.8836477987421384,0.8808043202071755,0.8893293166323133,0.8529021761236526,0.8666617559148589
12,", KNN, DT, SVC, RF, XGB, GNB",DT,s,0.05354330708661417,0.05354330708661417,0.9464566929133859,0.9453057870699166,0.9464566929133859,0.9440397628653373,0.9329047766065364,0.8610804546959496,0.8919549203298903
13,", KNN, DT, SVC, RF, XGB, GNB",DT,c,0.37657232704402516,0.23349056603773585,0.8380503144654088,0.8428012102714504,0.8380503144654088,0.8329318156248615,0.855119530802895,0.7754989550679205,0.8063647847257558
14,", KNN, DT, SVC, RF, XGB, GNB",DT,i,0.31254932912391475,0.2052091554853986,0.8484609313338595,0.848697729957298,0.8484609313338595,0.8471246175720001,0.8433806611044284,0.8199862292962178,0.8302606932097124
