,Model,col,MSE,MAE,Accuracy,W_precision,W_recall,W_F1score,M_precision,M_recall,M_F1score
16,SVC,av,0.1998426435877262,0.15263571990558616,0.8678206136900078,0.862673414197453,0.8678206136900078,0.8625686109667566,0.8025933612152982,0.5825028327099578,0.650231206054847
17,SVC,ac,0.05813040062843677,0.05813040062843677,0.9418695993715632,0.93155125381858,0.9418695993715632,0.9338307690706988,0.781527940186386,0.6590972806279787,0.7000700458481917
18,SVC,pr,0.6459968602825745,0.34301412872841447,0.8084772370486656,0.8083956373554094,0.8084772370486656,0.8009843130724408,0.8286805192063255,0.6818105571578995,0.7304026524377453
19,SVC,ui,0.14521193092621665,0.14521193092621665,0.8547880690737834,0.8536771966540238,0.8547880690737834,0.8529617308843465,0.8495882407259723,0.8324074074074075,0.8395167731493429
20,SVC,s,0.07148468185388845,0.07148468185388845,0.9285153181461115,0.9291959713035559,0.9285153181461115,0.9288337511593536,0.8723614326569522,0.8790560855362914,0.8756554379479385
21,SVC,c,0.35978004713275724,0.23095051060487037,0.8334642576590731,0.8318576981398353,0.8334642576590731,0.832462955924057,0.8050630768437085,0.7933468277741027,0.798960681412591
22,SVC,i,0.36299212598425196,0.24803149606299213,0.8094488188976378,0.8234583671916484,0.8094488188976378,0.8047634335102896,0.8302940557771151,0.77700367991294,0.792861537710429
23,SVC,a,0.1838177533385703,0.16182246661429694,0.8491751767478397,0.8548568849296431,0.8491751767478397,0.8403334184062614,0.904927336830338,0.5881167878220199,0.6152103091130724
24,RF,av,0.1959087332808812,0.15184893784421716,0.8678206136900078,0.8627204350671162,0.8678206136900078,0.8626267380779046,0.8021113389534442,0.5825028327099578,0.650018224131866
25,RF,ac,0.05813040062843677,0.05813040062843677,0.9418695993715632,0.93155125381858,0.9418695993715632,0.9338307690706988,0.781527940186386,0.6590972806279787,0.7000700458481917
26,RF,pr,0.6459968602825745,0.34301412872841447,0.8084772370486656,0.8083956373554094,0.8084772370486656,0.8009843130724408,0.8286805192063255,0.6818105571578995,0.7304026524377453
27,RF,ui,0.14521193092621665,0.14521193092621665,0.8547880690737834,0.8536771966540238,0.8547880690737834,0.8529617308843465,0.8495882407259723,0.8324074074074075,0.8395167731493429
28,RF,s,0.07148468185388845,0.07148468185388845,0.9285153181461115,0.9291959713035559,0.9285153181461115,0.9288337511593536,0.8723614326569522,0.8790560855362914,0.8756554379479385
29,RF,c,0.35978004713275724,0.23095051060487037,0.8334642576590731,0.8318576981398353,0.8334642576590731,0.832462955924057,0.8050630768437085,0.7933468277741027,0.798960681412591
30,RF,i,0.36299212598425196,0.24803149606299213,0.8094488188976378,0.8234583671916484,0.8094488188976378,0.8047634335102896,0.8302940557771151,0.77700367991294,0.792861537710429
31,RF,a,0.1838177533385703,0.16182246661429694,0.8491751767478397,0.8548568849296431,0.8491751767478397,0.8403334184062614,0.904927336830338,0.5881167878220199,0.6152103091130724
32,XGB,av,0.1966955153422502,0.15263571990558616,0.8670338316286389,0.8624089452543834,0.8670338316286389,0.8628054070664513,0.7889498432601881,0.6025892603668079,0.6655110481997124
33,XGB,ac,0.05813040062843677,0.05813040062843677,0.9418695993715632,0.93155125381858,0.9418695993715632,0.9338307690706988,0.781527940186386,0.6590972806279787,0.7000700458481917
34,XGB,pr,0.6459968602825745,0.34301412872841447,0.8084772370486656,0.8083956373554094,0.8084772370486656,0.8009843130724408,0.8286805192063255,0.6818105571578995,0.7304026524377453
35,XGB,ui,0.14521193092621665,0.14521193092621665,0.8547880690737834,0.8536771966540238,0.8547880690737834,0.8529617308843465,0.8495882407259723,0.8324074074074075,0.8395167731493429
36,XGB,s,0.07148468185388845,0.07148468185388845,0.9285153181461115,0.9291959713035559,0.9285153181461115,0.9288337511593536,0.8723614326569522,0.8790560855362914,0.8756554379479385
37,XGB,c,0.36135113904163396,0.23095051060487037,0.8342498036135114,0.8319184159276242,0.8342498036135114,0.8324701701679386,0.8091589180175319,0.789137123834205,0.7983330040650931
38,XGB,i,0.36299212598425196,0.24803149606299213,0.8094488188976378,0.8234583671916484,0.8094488188976378,0.8047634335102896,0.8302940557771151,0.77700367991294,0.792861537710429
39,XGB,a,0.18538884524744698,0.1633935585231736,0.8476040848389631,0.8351317498424304,0.8476040848389631,0.8367585914411261,0.570137759904167,0.5591312805756431,0.5612760408407348
40,GNB,av,0.2022029897718332,0.16601101494885917,0.8512981904012589,0.8501547620223323,0.8512981904012589,0.8506148409622196,0.603779616331181,0.5632708736996226,0.5808778771135993
41,GNB,ac,0.05813040062843677,0.05813040062843677,0.9418695993715632,0.93155125381858,0.9418695993715632,0.9338307690706988,0.781527940186386,0.6590972806279787,0.7000700458481917
42,GNB,pr,0.6797488226059655,0.3751962323390895,0.7770800627943485,0.7184851738101435,0.7770800627943485,0.7461771458675482,0.49508886462167445,0.5252179645653069,0.5093098164305595
43,GNB,ui,0.14521193092621665,0.14521193092621665,0.8547880690737834,0.8536771966540238,0.8547880690737834,0.8529617308843465,0.8495882407259723,0.8324074074074075,0.8395167731493429
44,GNB,s,0.07148468185388845,0.07148468185388845,0.9285153181461115,0.9291959713035559,0.9285153181461115,0.9288337511593536,0.8723614326569522,0.8790560855362914,0.8756554379479385
45,GNB,c,0.35978004713275724,0.23095051060487037,0.8334642576590731,0.8318576981398353,0.8334642576590731,0.832462955924057,0.8050630768437085,0.7933468277741027,0.798960681412591
46,GNB,i,0.3700787401574803,0.25196850393700787,0.8070866141732284,0.820273147491756,0.8070866141732284,0.8032932837999736,0.8161129093764629,0.7871388544393918,0.7916605272192965
47,GNB,a,0.19638648860958366,0.1681068342498036,0.8460329929300864,0.84445462702573,0.8460329929300864,0.8404131860381802,0.6836139625097464,0.6144947331388009,0.6374261661546091
