,Model,col,MSE,MAE,Accuracy,W_precision,W_recall,W_F1score,M_precision,M_recall,M_F1score
0,GradientBoostingClassifier,av,0.1841070023603462,0.13375295043273014,0.8882769472856019,0.8884854372608285,0.8882769472856019,0.879329040253596,0.915455942987133,0.5924887540731525,0.6829217961474547
1,GradientBoostingClassifier,ac,0.06284367635506677,0.06284367635506677,0.9371563236449332,0.9253777828586863,0.9371563236449332,0.9275641115364047,0.779082952411325,0.6479477787170095,0.6892848425677325
2,GradientBoostingClassifier,pr,0.6930926216640503,0.36813186813186816,0.7943485086342229,0.7895137372713549,0.7943485086342229,0.7910409621286988,0.7391345976538674,0.7033601814368126,0.719518469942971
3,GradientBoostingClassifier,ui,0.13736263736263737,0.13736263736263737,0.8626373626373627,0.8614395449838487,0.8626373626373627,0.8608481082755961,0.8564619471792467,0.8383360302049623,0.845977416468914
4,GradientBoostingClassifier,s,0.05420267085624509,0.05420267085624509,0.9457973291437549,0.9455122529929761,0.9457973291437549,0.9456462146090602,0.9055540791921339,0.9010564490696942,0.9032837733829704
5,GradientBoostingClassifier,c,0.3511390416339356,0.22230950510604872,0.8421052631578947,0.8408301986098539,0.8421052631578947,0.8403907933166643,0.8299174550914413,0.8053078477137529,0.8163953901619605
6,GradientBoostingClassifier,i,0.3921259842519685,0.2677165354330709,0.794488188976378,0.8005801463753909,0.794488188976378,0.7911707423235843,0.7902951011741469,0.7699634820675315,0.7739363839929613
7,GradientBoostingClassifier,a,0.20502749410840534,0.16889238020424194,0.8491751767478397,0.8517901541162527,0.8491751767478397,0.8408484747863548,0.7968811712631937,0.5932907495842127,0.6137281399771068
