,Model,col,MSE,MAE,Accuracy,W_precision,W_recall,W_F1score,M_precision,M_recall,M_F1score
0,KNN,av,0.22265932336742722,0.16443745082612116,0.8607395751376868,0.8557864881142361,0.8607395751376868,0.8482835807304439,0.6380265009123085,0.450699091352852,0.4924482170701323
1,KNN,ac,0.07462686567164178,0.07462686567164178,0.9253731343283582,0.9110816860149049,0.9253731343283582,0.913160586331234,0.7732341709187767,0.6376574348029943,0.6775694331503468
2,KNN,pr,0.7040816326530612,0.37598116169544743,0.7880690737833596,0.792867654241666,0.7880690737833596,0.7796808115774592,0.8248221686200221,0.6472359510359734,0.6950899588541147
3,KNN,ui,0.16169544740973313,0.16169544740973313,0.8383045525902669,0.8530735979957785,0.8383045525902669,0.8412808381820381,0.8211275106512477,0.8458166743134299,0.8284051679045925
4,KNN,s,0.062058130400628436,0.062058130400628436,0.9379418695993715,0.9366852447290731,0.9379418695993715,0.9371025508178374,0.9023793857699216,0.8811794038122994,0.8912757453460803
5,KNN,c,0.373134328358209,0.23644933228593873,0.8318931657501963,0.8309975514546888,0.8318931657501963,0.8313688261500952,0.8076438420465881,0.8006389691118775,0.8040520135382213
6,KNN,i,0.36456692913385824,0.25275590551181104,0.8031496062992126,0.8165856529735466,0.8031496062992126,0.7977204569583122,0.8062269674879555,0.775156272293145,0.7785611232824227
7,KNN,a,0.18303220738413198,0.15789473684210525,0.8546739984289081,0.8400141029785424,0.8546739984289081,0.8452256982306579,0.5724946695095948,0.5728342302416376,0.5712201469919935
8,DT,av,0.22265932336742722,0.16443745082612116,0.8607395751376868,0.857973091800414,0.8607395751376868,0.8464904769435109,0.6794599483521385,0.4309166090393527,0.4651475048249242
9,DT,ac,0.07462686567164178,0.07462686567164178,0.9253731343283582,0.9110816860149049,0.9253731343283582,0.913160586331234,0.7732341709187767,0.6376574348029943,0.6775694331503468
10,DT,pr,0.7040816326530612,0.37598116169544743,0.7880690737833596,0.792867654241666,0.7880690737833596,0.7796808115774592,0.8248221686200221,0.6472359510359734,0.6950899588541147
11,DT,ui,0.13971742543171115,0.13971742543171115,0.8602825745682888,0.8595025992571643,0.8602825745682888,0.8598101202232523,0.8465680086810169,0.8419113630901662,0.844140384446204
12,DT,s,0.062058130400628436,0.062058130400628436,0.9379418695993715,0.9366852447290731,0.9379418695993715,0.9371025508178374,0.9023793857699216,0.8811794038122994,0.8912757453460803
13,DT,c,0.373134328358209,0.23644933228593873,0.8318931657501963,0.8309975514546888,0.8318931657501963,0.8313688261500952,0.8076438420465881,0.8006389691118775,0.8040520135382213
14,DT,i,0.36299212598425196,0.2511811023622047,0.8047244094488188,0.8178704420316447,0.8047244094488188,0.7995352720074564,0.8071468761405138,0.7768313141691919,0.7802330207758416
15,DT,a,0.18538884524744698,0.1539670070699136,0.8617439120188531,0.8501138185682283,0.8617439120188531,0.8518784738119844,0.5816103733667352,0.5760305652280961,0.5759898236706106
16,SVC,av,0.22580645161290322,0.16601101494885917,0.8599527930763179,0.8578195671737642,0.8599527930763179,0.8459135398843595,0.6793079781025497,0.4301377928399757,0.4645764090288327
17,SVC,ac,0.07462686567164178,0.07462686567164178,0.9253731343283582,0.9110816860149049,0.9253731343283582,0.913160586331234,0.7732341709187767,0.6376574348029943,0.6775694331503468
18,SVC,pr,0.7040816326530612,0.37598116169544743,0.7880690737833596,0.792867654241666,0.7880690737833596,0.7796808115774592,0.8248221686200221,0.6472359510359734,0.6950899588541147
19,SVC,ui,0.13971742543171115,0.13971742543171115,0.8602825745682888,0.8595025992571643,0.8602825745682888,0.8598101202232523,0.8465680086810169,0.8419113630901662,0.844140384446204
20,SVC,s,0.062058130400628436,0.062058130400628436,0.9379418695993715,0.9366852447290731,0.9379418695993715,0.9371025508178374,0.9023793857699216,0.8811794038122994,0.8912757453460803
21,SVC,c,0.373134328358209,0.23644933228593873,0.8318931657501963,0.8309975514546888,0.8318931657501963,0.8313688261500952,0.8076438420465881,0.8006389691118775,0.8040520135382213
22,SVC,i,0.3417322834645669,0.24566929133858267,0.8023622047244094,0.8072077998678633,0.8023622047244094,0.8038139146243672,0.779150117537442,0.797539756841974,0.7872404438440617
23,SVC,a,0.18538884524744698,0.1539670070699136,0.8617439120188531,0.8501138185682283,0.8617439120188531,0.8518784738119844,0.5816103733667352,0.5760305652280961,0.5759898236706106
24,RF,av,0.22580645161290322,0.16601101494885917,0.8599527930763179,0.8578195671737642,0.8599527930763179,0.8459135398843595,0.6793079781025497,0.4301377928399757,0.4645764090288327
25,RF,ac,0.07462686567164178,0.07462686567164178,0.9253731343283582,0.9110816860149049,0.9253731343283582,0.913160586331234,0.7732341709187767,0.6376574348029943,0.6775694331503468
26,RF,pr,0.7040816326530612,0.37598116169544743,0.7880690737833596,0.792867654241666,0.7880690737833596,0.7796808115774592,0.8248221686200221,0.6472359510359734,0.6950899588541147
27,RF,ui,0.13971742543171115,0.13971742543171115,0.8602825745682888,0.8595025992571643,0.8602825745682888,0.8598101202232523,0.8465680086810169,0.8419113630901662,0.844140384446204
28,RF,s,0.062058130400628436,0.062058130400628436,0.9379418695993715,0.9366852447290731,0.9379418695993715,0.9371025508178374,0.9023793857699216,0.8811794038122994,0.8912757453460803
29,RF,c,0.373134328358209,0.23644933228593873,0.8318931657501963,0.8309975514546888,0.8318931657501963,0.8313688261500952,0.8076438420465881,0.8006389691118775,0.8040520135382213
30,RF,i,0.36299212598425196,0.2511811023622047,0.8047244094488188,0.8178704420316447,0.8047244094488188,0.7995352720074564,0.8071468761405138,0.7768313141691919,0.7802330207758416
31,RF,a,0.18224666142969365,0.15239591516103693,0.8625294579732914,0.8637321659710274,0.8625294579732914,0.8549179889157137,0.804443549518433,0.6033510956350462,0.6255159997892623
32,XGB,av,0.22580645161290322,0.16601101494885917,0.8599527930763179,0.8578195671737642,0.8599527930763179,0.8459135398843595,0.6793079781025497,0.4301377928399757,0.4645764090288327
33,XGB,ac,0.07462686567164178,0.07462686567164178,0.9253731343283582,0.9110816860149049,0.9253731343283582,0.913160586331234,0.7732341709187767,0.6376574348029943,0.6775694331503468
34,XGB,pr,0.7040816326530612,0.37598116169544743,0.7880690737833596,0.792867654241666,0.7880690737833596,0.7796808115774592,0.8248221686200221,0.6472359510359734,0.6950899588541147
35,XGB,ui,0.13971742543171115,0.13971742543171115,0.8602825745682888,0.8595025992571643,0.8602825745682888,0.8598101202232523,0.8465680086810169,0.8419113630901662,0.844140384446204
36,XGB,s,0.062058130400628436,0.062058130400628436,0.9379418695993715,0.9366852447290731,0.9379418695993715,0.9371025508178374,0.9023793857699216,0.8811794038122994,0.8912757453460803
37,XGB,c,0.373134328358209,0.23644933228593873,0.8318931657501963,0.8309975514546888,0.8318931657501963,0.8313688261500952,0.8076438420465881,0.8006389691118775,0.8040520135382213
38,XGB,i,0.36299212598425196,0.2511811023622047,0.8047244094488188,0.8178704420316447,0.8047244094488188,0.7995352720074564,0.8071468761405138,0.7768313141691919,0.7802330207758416
39,XGB,a,0.1814611154752553,0.15318146111547526,0.8609583660644148,0.8486850385879259,0.8609583660644148,0.8510645107731896,0.580198895784231,0.5755733178572685,0.5752679490476503
40,GNB,av,0.27773406766325726,0.1959087332808812,0.8418568056648308,0.8425287471969609,0.8418568056648308,0.8366030441608325,0.43054991711492274,0.3934470964308353,0.40725254369872066
41,GNB,ac,0.07462686567164178,0.07462686567164178,0.9253731343283582,0.9110816860149049,0.9253731343283582,0.913160586331234,0.7732341709187767,0.6376574348029943,0.6775694331503468
42,GNB,pr,0.7040816326530612,0.37598116169544743,0.7880690737833596,0.792867654241666,0.7880690737833596,0.7796808115774592,0.8248221686200221,0.6472359510359734,0.6950899588541147
43,GNB,ui,0.13971742543171115,0.13971742543171115,0.8602825745682888,0.8595025992571643,0.8602825745682888,0.8598101202232523,0.8465680086810169,0.8419113630901662,0.844140384446204
44,GNB,s,0.062058130400628436,0.062058130400628436,0.9379418695993715,0.9366852447290731,0.9379418695993715,0.9371025508178374,0.9023793857699216,0.8811794038122994,0.8912757453460803
45,GNB,c,0.373134328358209,0.23644933228593873,0.8318931657501963,0.8309975514546888,0.8318931657501963,0.8313688261500952,0.8076438420465881,0.8006389691118775,0.8040520135382213
46,GNB,i,0.3417322834645669,0.24566929133858267,0.8023622047244094,0.8072077998678633,0.8023622047244094,0.8038139146243672,0.779150117537442,0.797539756841974,0.7872404438440617
47,GNB,a,0.21681068342498036,0.16967792615868027,0.8538884524744698,0.8571287932472915,0.8538884524744698,0.8522699895525094,0.6417561248155789,0.625184657592065,0.6310874000481543
