,Estimator,col,MSE,MAE,Accuracy,W_precision,W_recall,W_F1score,M_precision,M_recall,M_F1score
0,KNN,av,0.16996047430830039,0.13517786561264822,0.8806324110671937,0.8811072749658102,0.8806324110671937,0.877646951823687,0.7777592425661575,0.5681069285324604,0.5953559099092414
1,KNN,ac,0.07075471698113207,0.07075471698113207,0.9292452830188679,0.915598371880706,0.9292452830188679,0.9117921314900483,0.811491935483871,0.6035696329813978,0.6455069053074874
2,KNN,pr,0.6449332285938727,0.34642576590730556,0.802827965435978,0.7982807815040714,0.802827965435978,0.7919028721776155,0.7928854397832499,0.674689767053958,0.7171506710366166
3,KNN,ui,0.10534591194968554,0.10534591194968554,0.8946540880503144,0.8952073187692148,0.8946540880503144,0.8924568115270606,0.8970276262959189,0.8651455026455026,0.877997314406292
4,KNN,s,0.05590551181102362,0.05590551181102362,0.9440944881889763,0.9427273778185354,0.9440944881889763,0.9429702747020985,0.9157106728788669,0.8835497835497835,0.8985370749826431
5,KNN,c,0.3946540880503145,0.24371069182389937,0.8317610062893082,0.8346042284540752,0.8317610062893082,0.8270315966329741,0.8422720785558084,0.7737462236419121,0.8007240566591908
6,KNN,i,0.287292817679558,0.19731649565903708,0.8476716653512234,0.8477764669018901,0.8476716653512234,0.8465947020266755,0.8484366933962947,0.8233450635720091,0.8342576742984752
7,KNN,a,0.17138364779874213,0.14937106918238993,0.8616352201257862,0.8637814226539468,0.8616352201257862,0.8550998976057056,0.9050683214886531,0.5957826611621,0.60512639290575
8,DT,av,0.16442687747035573,0.13122529644268774,0.8837944664031621,0.8829405580522317,0.8837944664031621,0.8807513484890227,0.8004887271689498,0.5870008183306056,0.6326406310616837
9,DT,ac,0.07154088050314465,0.07154088050314465,0.9284591194968553,0.9138798787823412,0.9284591194968553,0.9112010080994317,0.8010492332526231,0.6031422825540473,0.6440754577740879
10,DT,pr,0.6433621366849961,0.34642576590730556,0.8020424194815396,0.7966280904222774,0.8020424194815396,0.7910258727022353,0.7845709845709846,0.6737586683574962,0.7140766048531498
11,DT,ui,0.1069182389937107,0.1069182389937107,0.8930817610062893,0.8923350371258493,0.8930817610062893,0.8925110373788512,0.8838721664808622,0.875760582010582,0.8795746351569221
12,DT,s,0.05590551181102362,0.05590551181102362,0.9440944881889763,0.9427273778185354,0.9440944881889763,0.9429702747020985,0.9157106728788669,0.8835497835497835,0.8985370749826431
13,DT,c,0.39858490566037735,0.2460691823899371,0.8301886792452831,0.8320926968398873,0.8301886792452831,0.8253873792136487,0.8374326082249798,0.7720616155595293,0.7979608534241764
14,DT,i,0.287292817679558,0.19731649565903708,0.8476716653512234,0.8475706033061036,0.8476716653512234,0.8466659366781846,0.847278784450082,0.8245037433750335,0.8345830683706869
15,DT,a,0.17059748427672955,0.14858490566037735,0.8624213836477987,0.8643718665622526,0.8624213836477987,0.8556658500150941,0.906297449200173,0.5951871402228582,0.6053704515617526
