,Models_0,Model_1,col,MSE,MAE,Accuracy,W_precision,W_recall,W_F1score,M_precision,M_recall,M_F1score
0,", KNN, DT, SVC, RF, XGB, GNB",KNN,av,0.19367588932806323,0.14150197628458497,0.8790513833992095,0.8767042512953961,0.8790513833992095,0.8744958961033547,0.8316737098273795,0.5791639388979815,0.6395859338731555
1,", KNN, DT, SVC, RF, XGB, GNB",KNN,ac,0.07154088050314465,0.07154088050314465,0.9284591194968553,0.9138798787823412,0.9284591194968553,0.9112010080994317,0.8010492332526231,0.6031422825540473,0.6440754577740879
2,", KNN, DT, SVC, RF, XGB, GNB",KNN,pr,0.648075412411626,0.3479968578161822,0.8020424194815396,0.7996527108168363,0.8020424194815396,0.7976742856118132,0.7823509678208621,0.6920321943083022,0.7255671225511192
3,", KNN, DT, SVC, RF, XGB, GNB",KNN,ui,0.3553459119496855,0.3553459119496855,0.6446540880503144,0.5786163522012578,0.6446540880503144,0.5667758821978685,0.537037037037037,0.5128306878306879,0.4687070303836771
4,", KNN, DT, SVC, RF, XGB, GNB",KNN,s,0.05590551181102362,0.05590551181102362,0.9440944881889763,0.9427273778185354,0.9440944881889763,0.9429702747020985,0.9157106728788669,0.8835497835497835,0.8985370749826431
5,", KNN, DT, SVC, RF, XGB, GNB",KNN,c,0.4056603773584906,0.25157232704402516,0.8254716981132075,0.8296725194672525,0.8254716981132075,0.8199786112711378,0.8401807077409075,0.7627686754599132,0.7925132543972238
6,", KNN, DT, SVC, RF, XGB, GNB",KNN,i,0.2951854775059195,0.2052091554853986,0.8397790055248618,0.841393654037195,0.8397790055248618,0.8377806341954074,0.8453477047557828,0.8115161363963238,0.8255165440543398
7,", KNN, DT, SVC, RF, XGB, GNB",KNN,a,0.1611635220125786,0.14386792452830188,0.8647798742138365,0.867032499682774,0.8647798742138365,0.858309842590797,0.9066798432499957,0.5982036794232674,0.607144025109447
8,", KNN, DT, SVC, RF, XGB, GNB",DT,av,0.2015810276679842,0.14308300395256918,0.8798418972332016,0.8774994646848193,0.8798418972332016,0.8743071470751562,0.8170988368356789,0.5593303327877795,0.6073361351930476
9,", KNN, DT, SVC, RF, XGB, GNB",DT,ac,0.07232704402515723,0.07232704402515723,0.9276729559748428,0.9122595787484379,0.9276729559748428,0.9106124239954867,0.7912192340587285,0.6027149321266969,0.6426617158491303
